date,season,holiday,weekday,weather,temperature,realfeel,humidity,windspeed,rentals
1/1/2011,1,0,6,2,46.7165282,46.39865,0.805833,6.679664928,985
1/2/2011,1,0,0,2,48.3502388,45.2241932,0.696087,10.34714011,801
1/3/2011,1,0,1,1,34.2123944,25.701314,0.437273,10.33756478,1349
1/4/2011,1,0,2,1,34.52,28.4000936,0.590435,6.67342015,1562
1/5/2011,1,0,3,1,36.8005622,30.437276,0.436957,7.780994073,1600
1/6/2011,1,0,4,1,34.8878408,,0.518261,3.728765599,1606
1/7/2011,1,0,5,2,34.2257612,28.0100732,0.498696,7.024376704,1510
1/8/2011,1,0,6,2,31.559,22.4757752,0.535833,11.10754598,959
1/9/2011,1,0,0,1,29.3029718,17.00159,0.434167,15.06865064,822
1/10/2011,1,0,1,1,30.3604718,21.1254944,0.482917,9.295019817,1321
1/11/2011,1,0,2,2,31.9050986,25.9459232,0.686364,5.084581959,1263
1/12/2011,1,0,3,1,32.2127042,22.2641924,0.599545,12.6821877,1162
1/13/2011,1,0,4,1,31.559,21.1249004,0.470417,12.53118896,1406
1/14/2011,1,0,5,1,31.209602,25.5834644,0.537826,5.26842824,1421
1/15/2011,1,0,6,2,37.3399718,32.6757056,0.49875,6.576293027,1248
1/16/2011,1,0,0,1,37.1990282,31.0249796,0.48375,7.84481571,1204
1/17/2011,1,1,1,2,32.4754718,24.2003948,0.5375,8.077288,1000
1/18/2011,1,0,2,2,35.9300282,30.8011604,0.861667,6.110515811,683
1/19/2011,1,0,3,2,42.3179204,38.6525336,0.741739,8.672623555,1650
1/20/2011,1,0,4,2,39.7370282,33.49994,0.538333,8.155847314,1927
1/21/2011,1,0,5,1,32.6165,21.9505604,0.457083,14.70612043,1543
1/22/2011,1,0,6,1,22.60243184,12.59346848,0.4,7.159430448,981
1/23/2011,1,0,0,1,25.76573582,14.94208508,0.436522,10.26641594,986
1/24/2011,1,0,1,1,25.83930398,,0.491739,6.591571919,1416
1/25/2011,1,0,2,2,36.5062388,31.0616888,0.616957,5.403648511,1985
1/26/2011,1,0,3,3,36.0005,27.38768,0.8625,12.23352118,506
1/27/2011,1,0,4,1,34.097,29.30036,0.6875,4.739245705,431
1/28/2011,1,0,5,2,34.8142388,29.7300596,0.793043,5.133207968,1167
